date,close,open,high,low,volume,•Ï‰»—¦ %
2016/2/21,19.81,20.14,22.87,18.46,,-3.51%
2016/2/14,20.53,24.96,25.52,20.52,,-19.17%
2016/2/7,25.4,25.89,30.9,24.47,,8.64%
2016/1/31,23.38,21.32,27.7,19.61,,15.74%
2016/1/24,20.2,23.3,27.22,19.5,,-9.58%
2016/1/17,22.34,25.4,32.09,22.22,,-17.32%
2016/1/10,27.02,25.58,30.95,21.44,,0.04%
2016/1/3,27.01,22.48,27.08,19.25,,48.33%
2015/12/27,18.21,17.65,20.39,15.63,,15.69%
2015/12/20,15.74,19.64,20.21,14.45,,-23.96%
2015/12/13,20.7,24.7,26.81,16.13,,-15.13%
2015/12/6,24.39,15.65,25.27,15.58,,64.69%
2015/11/29,14.81,15.55,19.35,14.63,,-2.05%
2015/11/22,15.12,16.15,17.21,15.05,,-2.26%
2015/11/15,15.47,20.51,20.55,15.47,,-22.96%
2015/11/8,20.08,15.34,20.67,15.02,,40.13%
2015/11/1,14.33,15.41,16.39,13.67,,-4.91%
2015/10/25,15.07,14.76,15.99,12.8,,4.22%
2015/10/18,14.46,15.68,16.7,13.24,,-3.92%
2015/10/11,15.05,17.68,18.78,15.05,,-11.89%
2015/10/4,17.08,20.31,20.42,16.34,,-18.43%
2015/9/27,20.94,25.02,28.33,20.35,,-11.35%
2015/9/20,23.62,21.97,26.29,20.05,,6.01%
2015/9/13,22.28,24.03,25.32,17.87,,-3.97%
2015/9/6,23.2,25.05,27.22,21.51,,-16.55%
2015/8/30,27.8,27.03,33.82,23.45,,6.72%
2015/8/23,26.05,28.03,53.29,24.49,,-7.06%
2015/8/16,28.03,14.32,28.38,13.01,,118.47%
2015/8/9,12.83,12.73,16.28,12.18,,-4.18%
2015/8/2,13.39,12.85,14.58,10.88,,10.48%
2015/7/26,12.12,15.6,16.27,11.82,,-11.79%
2015/7/19,13.74,12.25,14.73,11.71,,14.98%
2015/7/12,11.95,15.29,15.36,11.77,,-29.00%
2015/7/5,16.83,18.65,20.05,15.93,,0.24%
2015/6/28,16.79,16.7,19.8,15.39,,19.76%
2015/6/21,14.02,13.42,14.91,11.93,,0.43%
2015/6/14,13.96,15.48,15.62,12.54,,1.31%
